,value,component,exp,Time
24,2.7855870143866923e-07,x-moist,neutstab,2000-01-01 05:00:00
25,4.270353315405373e-07,x-moist,neutstab,2000-01-01 05:00:00
26,1.9310300558572635e-07,x-moist,neutstab,2000-01-01 05:00:00
27,-1.5373577753052814e-06,x-moist,neutstab,2000-01-01 05:00:00
28,-1.7860763819044223e-06,x-moist,neutstab,2000-01-01 05:00:00
29,-1.7629533886065474e-06,x-moist,neutstab,2000-01-01 05:00:00
30,-1.651937964197714e-07,x-moist,neutstab,2000-01-01 05:00:00
31,9.915922873915406e-07,x-moist,neutstab,2000-01-01 05:00:00
32,2.215065251220949e-06,x-moist,neutstab,2000-01-01 05:00:00
33,2.198100219175103e-06,x-moist,neutstab,2000-01-01 05:00:00
34,1.2870257251051953e-06,x-moist,neutstab,2000-01-01 05:00:00
35,6.955742719583213e-07,x-moist,neutstab,2000-01-01 05:00:00
36,5.934110163252626e-07,x-moist,neutstab,2000-01-01 05:00:00
37,-7.48829691588071e-08,x-moist,neutstab,2000-01-01 05:00:00
38,-6.584589300473453e-07,x-moist,neutstab,2000-01-01 05:00:00
39,-1.4283270957093919e-06,x-moist,neutstab,2000-01-01 05:00:00
40,-1.3872793260816252e-06,x-moist,neutstab,2000-01-01 05:00:00
41,-9.894686172629008e-07,x-moist,neutstab,2000-01-01 05:00:00
42,-1.2117475307604764e-06,x-moist,neutstab,2000-01-01 05:00:00
43,-1.3384915291680954e-06,x-moist,neutstab,2000-01-01 05:00:00
44,-1.0264189995723427e-06,x-moist,neutstab,2000-01-01 05:00:00
45,-8.30685337405157e-07,x-moist,neutstab,2000-01-01 05:00:00
46,-3.572972957499587e-07,x-moist,neutstab,2000-01-01 05:00:00
47,-5.526800919142261e-07,x-moist,neutstab,2000-01-01 05:00:00
48,-2.9008489832449413e-07,x-moist,neutstab,2000-01-01 05:00:00
0,0.0,y-moist,neutstab,2000-01-01 05:00:00
1,1.688265499621977e-11,y-moist,neutstab,2000-01-01 05:00:00
2,-2.0981716798013084e-12,y-moist,neutstab,2000-01-01 05:00:00
3,-3.9078955349491906e-11,y-moist,neutstab,2000-01-01 05:00:00
4,-8.819584645936018e-11,y-moist,neutstab,2000-01-01 05:00:00
5,-1.9489784008897004e-08,y-moist,neutstab,2000-01-01 05:00:00
6,-1.2192715814762778e-07,y-moist,neutstab,2000-01-01 05:00:00
7,-6.088622228617169e-08,y-moist,neutstab,2000-01-01 05:00:00
8,4.506642881096923e-08,y-moist,neutstab,2000-01-01 05:00:00
9,2.339713311982905e-09,y-moist,neutstab,2000-01-01 05:00:00
10,1.6489066467784141e-07,y-moist,neutstab,2000-01-01 05:00:00
11,-5.586625917430865e-08,y-moist,neutstab,2000-01-01 05:00:00
12,-2.6582711143419147e-07,y-moist,neutstab,2000-01-01 05:00:00
13,1.378909786353688e-07,y-moist,neutstab,2000-01-01 05:00:00
14,1.0145252105075997e-07,y-moist,neutstab,2000-01-01 05:00:00
15,2.3818172678602423e-07,y-moist,neutstab,2000-01-01 05:00:00
16,-1.2290522022340156e-07,y-moist,neutstab,2000-01-01 05:00:00
17,6.366806246660417e-07,y-moist,neutstab,2000-01-01 05:00:00
18,3.042239029582561e-07,y-moist,neutstab,2000-01-01 05:00:00
19,2.090734767534741e-07,y-moist,neutstab,2000-01-01 05:00:00
20,8.114263323477644e-07,y-moist,neutstab,2000-01-01 05:00:00
21,-1.7971450461118366e-07,y-moist,neutstab,2000-01-01 05:00:00
22,-1.461950915881971e-08,y-moist,neutstab,2000-01-01 05:00:00
23,-3.3982215086325596e-07,y-moist,neutstab,2000-01-01 05:00:00
24,-5.563990157497756e-07,y-moist,neutstab,2000-01-01 05:00:00
25,-4.9545967328867846e-08,y-moist,neutstab,2000-01-01 05:00:00
26,-3.9349788494291715e-07,y-moist,neutstab,2000-01-01 05:00:00
27,2.0645746445779878e-08,y-moist,neutstab,2000-01-01 05:00:00
28,-3.793003315877286e-07,y-moist,neutstab,2000-01-01 05:00:00
29,-3.314162597689574e-07,y-moist,neutstab,2000-01-01 05:00:00
